id,title,num_subscribers,avg_rating,num_reviews,num_lectures,num_practice_tests,year,price_amount,discount_amount,currency
1575562,Interactive Python Dashboards with Plotly and Dash,13785,4.6593,494,69,0,2018,432.0,22.75,SR
1265410,Postman: The Complete Guide - REST API Testing,13785,4.47114,494,135,0,2017,64.0,22.75,SR
696050,Selenium WebDriver With Python 3.x - Novice To Ninja,13785,4.47769,494,147,0,2016,432.0,22.75,SR
1205346,Learn DevOps: CI/CD with Jenkins using Pipelines and Docker,13785,4.27282,494,52,0,2017,80.0,22.75,SR
1312042,Oracle Database 12c SQL Certified Associate 1Z0-071,13785,4.51386,494,147,0,2017,432.0,22.75,SR
549998,Oracle SQL : Become a Certified SQL Developer From Scratch!,13785,4.50209,494,136,0,2015,432.0,22.75,SR
1141808,Build+Deploy+Test with Jenkins 2.0,13785,4.23438,494,50,0,2017,96.0,22.75,SR
1982382,Python for Computer Vision with OpenCV and Deep Learning,13785,4.53741,494,92,0,2018,432.0,22.75,SR
2201164,Modern JavaScript (from Novice to Ninja),13785,4.79488,494,147,0,2019,320.0,22.75,SR
1213952,Python 3: Deep Dive (Part 1 - Functional),13785,4.75834,494,147,0,2018,432.0,22.75,SR
1554180,Python Network Programming for Network Engineers (Python 3),13785,4.66949,494,147,0,2018,128.0,22.75,SR
2023728,Go Java Full Stack with Spring Boot and Angular,13785,4.4641,494,124,0,2018,432.0,22.75,SR
1672410,"Node.js, Express, MongoDB & More: The Complete Bootcamp 2020",13785,4.75488,494,147,0,2019,432.0,22.75,SR
1261830,iOS 11 & Swift 4: From Beginner to Paid Professional™,13785,4.1087,494,147,0,2017,432.0,22.75,SR
128946,Learn Responsive Web Development from Scratch,13785,4.34615,494,25,0,2013,64.0,22.75,SR
1172996,React Native: Advanced Concepts,13785,4.15929,494,147,0,2017,304.0,22.75,SR
798580,Practical Data Structures & Algorithms in Java + HW,13785,4.4877,494,45,0,2016,432.0,22.75,SR
556954,Deep Learning Prerequisites: Linear Regression in Python,13785,4.66733,494,54,0,2015,432.0,22.75,SR
19332,The Complete 2020 Fullstack Web Developer Course,13785,4.49178,494,147,0,2012,592.0,22.75,SR
1546884,Python and Flask Bootcamp: Create Websites using Flask!,13785,4.63132,494,127,0,2018,432.0,22.75,SR
781502,The Complete Python & PostgreSQL Developer Course,13785,4.57101,494,147,0,2016,384.0,22.75,SR
2337318,Typescript: The Complete Developer's Guide [2020],13785,4.68166,494,147,0,2019,432.0,22.75,SR
1523224,Nuxt.js - Vue.js on Steroids,13785,4.65394,494,106,0,2018,432.0,22.75,SR
1144726,Build a Real-world App with ASP.NET Core and Angular 2 (4+),13785,3.96591,494,147,0,2017,432.0,22.75,SR
977062,Scala and Spark for Big Data and Machine Learning,13785,4.53459,494,80,0,2016,432.0,22.75,SR
1014442,Java Memory Management,13785,4.46994,494,31,0,2016,128.0,22.75,SR
886300,Accelerated JavaScript Training,13785,4.49265,494,128,0,2016,352.0,22.75,SR
886614,Accelerated ES6 JavaScript Training,13785,4.64607,494,115,0,2016,352.0,22.75,SR
201594,Become a Good Matlab Programmer in 30 days,13785,4.36601,494,122,0,2014,432.0,22.75,SR
1496348,Unit Testing for C# Developers,13785,4.54496,494,86,0,2018,432.0,22.75,SR
65830,The Java Spring Tutorial: Learn Java's Popular Web Framework,13785,4.24528,494,147,0,2013,112.0,22.75,SR
631128,Complete Python Web Course: Build 8 Python Web Apps,13785,4.40693,494,147,0,2015,352.0,22.75,SR
1078522,React JS Web Development - The Essentials Bootcamp,13785,4.42143,494,125,0,2017,192.0,22.75,SR
627032,Learn Spring Boot - Rapid Spring Application Development,13785,4.21088,494,90,0,2015,432.0,22.75,SR
299398,Relational Database Design,13785,4.28502,494,32,0,2014,160.0,22.75,SR
1087374,Essentials in JavaScript ES6 - A Fun and Clear Introduction,13785,4.40686,494,43,0,2017,320.0,22.75,SR
